Gender,Invoice_ID,Branch,City,Customer_type,Product_line,Unit_price,Quantity,Tax
Female,750-67-8428,A,Yangon,Member,Health and beauty,74.69,7,261.415
Female,226-31-3081,C,Naypyitaw,Normal,Electronic accessories,15.28,5,3.82
Female,355-53-5943,A,Yangon,Member,Electronic accessories,68.84,6,20.652
Female,315-22-5665,C,Naypyitaw,Normal,Home and lifestyle,73.56,10,36.78
Female,665-32-9167,A,Yangon,Member,Health and beauty,36.26,2,3.626
Female,692-92-5582,B,Mandalay,Member,Food and beverages,54.84,3,8.226
Male,351-62-0822,B,Mandalay,Member,Fashion accessories,14.48,4,2.896
Male,365-64-0515,A,Yangon,Normal,Electronic accessories,46.95,5,11.7375
Male,829-34-3910,A,Yangon,Normal,Health and beauty,71.38,10,35.69
Male,299-46-1805,B,Mandalay,Member,Sports and travel,93.72,6,28.116
Male,656-95-9349,A,Yangon,Member,Health and beauty,68.93,7,241.255
Male,319-50-3348,B,Mandalay,Normal,Home and lifestyle,40.3,2,4.03
Male,227-03-5010,A,Yangon,Member,Home and lifestyle,52.59,8,21.036
Male,189-17-4241,A,Yangon,Normal,Fashion accessories,87.67,2,8.767
Male,145-94-9061,B,Mandalay,Normal,Food and beverages,88.36,5,22.09
Female,183-56-6882,C,Naypyitaw,Member,Food and beverages,99.42,4,19.884
Female,232-16-2483,C,Naypyitaw,Member,Sports and travel,68.12,1,3.406
Female,272-65-1806,A,Yangon,Normal,Electronic accessories,60.88,9,27.396
Female,333-73-7901,C,Naypyitaw,Normal,Health and beauty,54.92,8,21.968
Female,280-35-5823,B,Mandalay,Member,Home and lifestyle,86.72,1,4.336
Female,354-25-5821,B,Mandalay,Member,Sports and travel,69.12,6,20.736
Female,228-96-1411,C,Naypyitaw,Member,Food and beverages,98.7,8,39.48
Female,132-32-9879,B,Mandalay,Member,Electronic accessories,93.96,4,18.792
Male,727-46-3608,B,Mandalay,Member,Food and beverages,20.01,9,9.1945
Male,574-22-5561,C,Naypyitaw,Member,Fashion accessories,82.63,10,41.315
Male,162-48-8011,A,Yangon,Member,Food and beverages,44.59,5,11.1475
Male,616-24-2851,B,Mandalay,Member,Fashion accessories,17.87,4,3.574
Male,399-46-5918,C,Naypyitaw,Normal,Electronic accessories,85.98,8,34.392
Male,817-48-8732,A,Yangon,Member,Home and lifestyle,72.35,10,36.175
Male,285-68-5083,C,Naypyitaw,Member,Sports and travel,24.74,3,3.711
Male,347-34-2234,B,Mandalay,Member,Sports and travel,55.07,9,247.815
Male,838-78-4295,C,Naypyitaw,Normal,Health and beauty,33.47,2,3.347
Male,109-28-2512,B,Mandalay,Member,Fashion accessories,97.61,6,29.283
Female,382-03-4532,A,Yangon,Member,Health and beauty,18.33,1,9.165
Female,510-95-6347,B,Mandalay,Member,Food and beverages,48.52,3,7.278
Female,841-35-6630,C,Naypyitaw,Normal,Electronic accessories,75.91,6,22.773
Female,732-94-0499,C,Naypyitaw,Normal,Electronic accessories,41.65,10,20.825
Female,381-20-0914,A,Yangon,Member,Fashion accessories,20.01,9,9.1945
Female,829-49-1914,C,Naypyitaw,Member,Food and beverages,78.31,10,39.155
